"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046931","BP","GO:0046931","pore complex assembly","3/256","19/18805",0.157894736842105,11.5984786184211,5.42985238100384,0.00205611261180165,0.0396389138518046,0.0353867802136389,"NUP93/NUP98/NUP205",3
"GO:0009167","BP","GO:0009167","purine ribonucleoside monophosphate metabolic process","4/256","40/18805",0.1,7.345703125,4.71976434337715,0.00208628150809667,0.0399352751088858,0.0356513502951345,"PFAS/GART/AK2/MAGI3",4
"GO:0034502","BP","GO:0034502","protein localization to chromosome","7/256","131/18805",0.0534351145038168,3.9251848759542,3.9468910948414,0.00212949211305176,0.0404753465713149,0.0361334873741697,"PARP1/RUVBL2/TP53BP1/RCC2/USP7/BUB3/RAD21",7
"GO:0032922","BP","GO:0032922","circadian regulation of gene expression","5/256","67/18805",0.0746268656716418,5.48186800373134,4.31737427294663,0.00218430937383786,0.0412269300698488,0.0368044472338231,"HNRNPU/PPP1CC/RBM4/GFPT1/TOP1",5
"GO:1902850","BP","GO:1902850","microtubule cytoskeleton organization involved in mitosis","8/256","169/18805",0.0473372781065089,3.47725591715976,3.80034241827801,0.00224886647164404,0.0421506292150505,0.0376290596022896,"FLNA/NUMA1/HNRNPU/TPR/GOLGA2/RAE1/STAG2/ZNF207",8
"GO:0042307","BP","GO:0042307","positive regulation of protein import into nucleus","4/256","41/18805",0.0975609756097561,7.16653963414634,4.64360849166861,0.00228741791693765,0.042577523846998,0.0380101605217443,"FLNA/TRIM28/TPR/MAVS",4
"GO:0009451","BP","GO:0009451","RNA modification","8/256","171/18805",0.0467836257309941,3.43658625730994,3.76020613206817,0.00241921369241032,0.0447223133959962,0.0399248748516743,"HSD17B10/SYNCRIP/FBL/SNRPD3/TRMT112/SNRPD1/SNRPE/GAR1",8
"GO:0019058","BP","GO:0019058","viral life cycle","11/256","295/18805",0.0372881355932203,2.73907574152542,3.5368052702677,0.00247454187988697,0.0454339356041832,0.0405601601364932,"TRIM28/DDX5/RPSA/PCBP2/HMGB1/DDB1/TFRC/BANF1/TOP2B/MAVS/CTBP2",11
"GO:0009126","BP","GO:0009126","purine nucleoside monophosphate metabolic process","4/256","42/18805",0.0952380952380952,6.99590773809524,4.5699694911018,0.00250151900246962,0.0456189174842264,0.040725298695967,"PFAS/GART/AK2/MAGI3",4
"GO:0017148","BP","GO:0017148","negative regulation of translation","9/256","213/18805",0.0422535211267606,3.10381822183099,3.6276034981362,0.00264082367483695,0.04783612817708,0.0427046654306025,"NCL/TPR/SCRIB/SYNCRIP/YBX1/RPS3/EIF4A3/RBM4/CAPRIN1",9
"GO:0005681","CC","GO:0005681","spliceosomal complex","34/261","208/19880",0.163461538461538,12.4506336575302,19.1476736563048,2.05389195997333e-27,8.70850191028693e-25,6.46435469507396e-25,"HNRNPA2B1/HNRNPK/HNRNPU/HNRNPH1/SNRNP200/NCL/DDX39B/HNRNPR/DDX5/SRRM2/SYNCRIP/HNRNPC/DHX15/SF3B2/YBX1/SF3B3/EIF4A3/ALYREF/EFTUD2/U2AF2/SF3A1/SNRPD3/SART1/SNRPA1/SF3A3/LUC7L3/API5/MAGOHB/PRPF4/TRA2A/SNRPD1/SF3B4/SF3B5/SNRPE",34
"GO:0071013","CC","GO:0071013","catalytic step 2 spliceosome","23/261","90/19880",0.255555555555556,19.4653043848446,20.2504144290508,1.41931260074488e-23,3.00894271357915e-21,2.23354982959326e-21,"HNRNPA2B1/HNRNPK/HNRNPU/HNRNPH1/SNRNP200/HNRNPR/DDX5/SRRM2/SYNCRIP/HNRNPC/SF3B2/SF3B3/EIF4A3/ALYREF/EFTUD2/SF3A1/SNRPD3/SART1/SNRPA1/SF3A3/MAGOHB/SNRPD1/SNRPE",23
"GO:0005684","CC","GO:0005684","U2-type spliceosomal complex","20/261","95/19880",0.210526315789474,16.0354910264166,16.9430065235696,7.92027304746719e-19,1.1193985907087e-16,8.30933909190417e-17,"SNRNP200/SRRM2/DHX15/SF3B2/SF3B3/EIF4A3/EFTUD2/U2AF2/SF3A1/SNRPD3/SART1/SNRPA1/SF3A3/LUC7L3/MAGOHB/PRPF4/SNRPD1/SF3B4/SF3B5/SNRPE",20
"GO:0071005","CC","GO:0071005","U2-type precatalytic spliceosome","16/261","50/19880",0.32,24.3739463601533,19.0868726154084,1.62300437140062e-18,1.47167112972207e-16,1.09242717921276e-16,"SNRNP200/SRRM2/SF3B2/SF3B3/EFTUD2/SF3A1/SNRPD3/SART1/SNRPA1/SF3A3/MAGOHB/PRPF4/SNRPD1/SF3B4/SF3B5/SNRPE",16
"GO:0016607","CC","GO:0016607","nuclear speck","35/261","415/19880",0.0843373493975904,6.42385634491991,12.8790583150457,1.7354612378798e-18,1.47167112972207e-16,1.09242717921276e-16,"HNRNPU/DDX17/DDX39B/DDX5/SRRM2/DHX15/SF3B2/APEX1/PPP1CC/RBM14/EIF4A3/THRAP3/ALYREF/EFTUD2/U2AF2/SF3A1/RBM4/PSPC1/RBM39/YLPM1/SART3/SARNP/SRSF10/SRSF6/SART1/SNRPA1/SF3A3/RBM10/LUC7L3/API5/SON/PRPF4/SRSF5/RING1/SRSF11",35
