"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061980","GO:0061980","regulatory RNA binding","8/260","58/18639",0.137931034482759,9.88806366047745,8.06328481626134,1.35038659498065e-06,3.07212950358098e-05,2.45201776457013e-05,"HNRNPA2B1/DHX9/HNRNPU/YBX1/ELAVL1/RBM4/RBM10/PIWIL4",8
"GO:0008186","GO:0008186","ATP-dependent activity, acting on RNA","9/260","79/18639",0.113924050632911,8.16703992210321,7.5925869144013,1.52979367852651e-06,3.34106939390189e-05,2.666671928042e-05,"DHX9/SNRNP200/DDX17/DDX39B/DDX5/DHX15/DDX1/EIF4A3/DDX19B",9
"GO:0016887","GO:0016887","ATP hydrolysis activity","20/260","417/18639",0.0479616306954436,3.43829551743221,5.98937817056332,1.77049208807203e-06,3.71803338495127e-05,2.96754544316527e-05,"DHX9/HSPA9/SNRNP200/XRCC6/DDX17/RUVBL2/DDX39B/DDX5/DHX15/RUVBL1/MCM7/DDX1/EIF4A3/CHD4/TRAP1/PSMC1/MCM2/ATP13A1/DDX19B/MCM5",20
"GO:1990518","GO:1990518","single-stranded 3'-5' DNA helicase activity","7/260","47/18639",0.148936170212766,10.6770049099836,7.9004571845671,3.70281153002074e-06,7.48790776070861e-05,5.97646773266506e-05,"DHX9/RUVBL2/RUVBL1/MCM7/CHD4/MCM2/MCM5",7
"GO:0003727","GO:0003727","single-stranded RNA binding","9/260","89/18639",0.101123595505618,7.24939498703544,7.02888454674618,4.18524755968412e-06,8.06537276823474e-05,6.43737097753843e-05,"DHX9/HNRNPU/HNRNPH1/HNRNPC/DDX1/EIF4A3/U2AF2/EIF4H/MSI2",9
"GO:0043138","GO:0043138","3'-5' DNA helicase activity","7/260","48/18639",0.145833333333333,10.4545673076923,7.80074874718649,4.28380604906241e-06,8.06537276823474e-05,6.43737097753843e-05,"DHX9/RUVBL2/RUVBL1/MCM7/CHD4/MCM2/MCM5",7
"GO:0001094","GO:0001094","TFIID-class transcription factor complex binding","4/260","10/18639",0.4,28.6753846153846,10.4117632102885,7.27325683569535e-06,0.00013063218509522,0.000104263976536382,"RUVBL2/RUVBL1/FBL/NOP58",4
"GO:0043021","GO:0043021","ribonucleoprotein complex binding","12/260","177/18639",0.0677966101694915,4.86023468057366,6.13742724370598,7.41684567390444e-06,0.00013063218509522,0.000104263976536382,"DHX9/HNRNPU/DDX5/RPSA/EIF4A3/EIF4H/RBM39/TOP2B/ETF1/SNRPD1/EEFSEC/EIF3K",12
"GO:0003678","GO:0003678","DNA helicase activity","8/260","74/18639",0.108108108108108,7.75010395010395,6.91997033676392,8.76072328093544e-06,0.000149479840980961,0.000119307218365371,"DHX9/XRCC6/RUVBL2/RUVBL1/MCM7/CHD4/MCM2/MCM5",8
"GO:0003725","GO:0003725","double-stranded RNA binding","8/260","75/18639",0.106666666666667,7.64676923076923,6.86010623788534,9.68976928481898e-06,0.000160321637257914,0.000127960589598566,"DHX9/HNRNPU/ILF2/DHX15/ELAVL1/DDX1/TFRC/EIF4H",8
"GO:0017116","GO:0017116","single-stranded DNA helicase activity","7/260","58/18639",0.120689655172414,8.65205570291777,6.94197374360484,1.55357209054035e-05,0.000249485400422069,0.000199126577549135,"DHX9/RUVBL2/RUVBL1/MCM7/CHD4/MCM2/MCM5",7
"GO:0001091","GO:0001091","RNA polymerase II general transcription initiation factor binding","5/260","24/18639",0.208333333333333,14.9350961538462,8.12473975904516,1.73868889786337e-05,0.000271235468066686,0.000216486377057274,"HNRNPU/RUVBL2/RUVBL1/FBL/NOP58",5
"GO:0000774","GO:0000774","adenyl-nucleotide exchange factor activity","4/260","15/18639",0.266666666666667,19.1169230769231,8.34870233924802,4.4743210871601e-05,0.000664248950243465,0.00053016978099247,"HSPA4/PFN1/CCAR2/HSPBP1",4
"GO:0106222","GO:0106222","lncRNA binding","5/260","29/18639",0.172413793103448,12.3600795755968,7.28169651828578,4.58872644458529e-05,0.000664248950243465,0.00053016978099247,"HNRNPU/PCBP2/ELAVL1/SUGT1/RAD21",5
"GO:0061749","GO:0061749","forked DNA-dependent helicase activity","6/260","47/18639",0.127659574468085,9.15171849427169,6.65518965255399,4.62297804198748e-05,0.000664248950243465,0.00053016978099247,"RUVBL2/RUVBL1/MCM7/CHD4/MCM2/MCM5",6
"GO:0009378","GO:0009378","four-way junction helicase activity","6/260","48/18639",0.125,8.96105769230769,6.56848788511154,5.2222062472848e-05,0.000712831152754376,0.00056894562799366,"RUVBL2/RUVBL1/MCM7/CHD4/MCM2/MCM5",6
"GO:0036121","GO:0036121","double-stranded DNA helicase activity","6/260","48/18639",0.125,8.96105769230769,6.56848788511154,5.2222062472848e-05,0.000712831152754376,0.00056894562799366,"RUVBL2/RUVBL1/MCM7/CHD4/MCM2/MCM5",6
