"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000380","GO:0000380","alternative mRNA splicing, via spliceosome","10/256","76/18805",0.131578947368421,9.66539884868421,8.89248029956279,7.95634547855583e-08,6.92715369245877e-06,6.18406614615087e-06,"DHX9/HNRNPU/DDX17/DDX5/HNRNPUL2/HNRNPUL1/THRAP3/PUF60/RBM4/SRSF6",10
"GO:0032200","GO:0032200","telomere organization","14/256","189/18805",0.0740740740740741,5.44126157407407,7.20906468811953,3.29584163119011e-07,2.77983642580691e-05,2.48163864927439e-05,"PRKDC/HNRNPA2B1/HNRNPU/XRCC6/PARP1/RUVBL2/HNRNPC/APEX1/RUVBL1/USP7/YLPM1/FEN1/RPA3/GAR1",14
"GO:0006310","GO:0006310","DNA recombination","19/256","352/18805",0.0539772727272727,3.96501020951705,6.59703650530633,3.87349967817971e-07,3.1680532216385e-05,2.82821076980969e-05,"PRKDC/XRCC6/PARP1/RUVBL2/HMGB1/APEX1/RUVBL1/MCM7/TP53BP1/CHD4/TFRC/MCM2/TOP2B/FEN1/MCM5/RPA3/PCYT1A/RAD21/HMGB3",19
"GO:0034504","GO:0034504","protein localization to nucleus","18/256","322/18805",0.0559006211180124,4.10629367236025,6.60494292929062,4.75454339934029e-07,3.72952457541925e-05,3.32945213749134e-05,"FLNA/HNRNPU/TRIM28/CTNNA1/PARP1/TPR/ELAVL1/XPO1/IPO7/TFRC/MAVS/NUP93/NUP98/NUP214/NUP133/NUP88/NUP35/RANBP2",18
"GO:0006606","GO:0006606","protein import into nucleus","13/256","167/18805",0.0778443113772455,5.71821201347305,7.19483580492534,4.95412245905399e-07,3.72952457541925e-05,3.32945213749134e-05,"FLNA/TRIM28/TPR/ELAVL1/IPO7/MAVS/NUP93/NUP98/NUP214/NUP133/NUP88/NUP35/RANBP2",13
"GO:0006302","GO:0006302","double-strand break repair","18/256","323/18805",0.0557275541795666,4.09358068885449,6.58829564493058,4.97454185680226e-07,3.72952457541925e-05,3.32945213749134e-05,"PRKDC/XRCC6/PARP1/RUVBL2/HMGB1/RUVBL1/MCM7/DDX1/TP53BP1/CHD4/FH/MCM2/TOP2B/SMARCA4/FEN1/MCM5/RPA3/RAD21",18
"GO:0048255","GO:0048255","mRNA stabilization","9/256","72/18805",0.125,9.18212890625,8.17172517422958,5.62385371387483e-07,4.10237329020221e-05,3.66230473714353e-05,"DHX9/HNRNPU/SYNCRIP/HNRNPC/YBX1/ELAVL1/THRAP3/HNRNPA0/RBM10",9
"GO:1902369","GO:1902369","negative regulation of RNA catabolic process","10/256","94/18805",0.106382978723404,7.81457779255319,7.78106842377541,6.0812758795371e-07,4.31930621022911e-05,3.85596689425496e-05,"DHX9/HNRNPU/LRPPRC/SYNCRIP/HNRNPC/YBX1/ELAVL1/THRAP3/HNRNPA0/RBM10",10
"GO:0051170","GO:0051170","import into nucleus","13/256","172/18805",0.0755813953488372,5.55198492005814,7.04544614327825,6.94356281338831e-07,4.80530154700899e-05,4.28982868551845e-05,"FLNA/TRIM28/TPR/ELAVL1/IPO7/MAVS/NUP93/NUP98/NUP214/NUP133/NUP88/NUP35/RANBP2",13
"GO:0000956","GO:0000956","nuclear-transcribed mRNA catabolic process","11/256","124/18805",0.0887096774193548,6.51634954637097,7.24014748967257,1.04683380908266e-06,7.06351112678522e-05,6.30579628681631e-05,"DHX9/HNRNPU/DDX5/SYNCRIP/YBX1/EIF4A3/THRAP3/CAPRIN1/ETF1/MAGOHB/CNOT3",11
"GO:0033044","GO:0033044","regulation of chromosome organization","15/256","244/18805",0.0614754098360656,4.51580110143443,6.49386684014033,1.35317007776935e-06,8.9078196095109e-05,7.95226266499111e-05,"HNRNPA2B1/NUMA1/HNRNPU/PARP1/RUVBL2/TPR/HNRNPC/RUVBL1/USP7/YLPM1/SMARCA4/FEN1/BUB3/RAD21/ZNF207",15
"GO:1902373","GO:1902373","negative regulation of mRNA catabolic process","9/256","81/18805",0.111111111111111,8.16189236111111,7.58849821066038,1.54968230260842e-06,9.95855365414318e-05,8.89028268338517e-05,"DHX9/HNRNPU/SYNCRIP/HNRNPC/YBX1/ELAVL1/THRAP3/HNRNPA0/RBM10",9
"GO:0043489","GO:0043489","RNA stabilization","9/256","82/18805",0.109756097560976,8.06235708841463,7.52928494913536,1.72027235866785e-06,0.00010797709525685,9.63942087880225e-05,"DHX9/HNRNPU/SYNCRIP/HNRNPC/YBX1/ELAVL1/THRAP3/HNRNPA0/RBM10",9
"GO:0006282","GO:0006282","regulation of DNA repair","14/256","227/18805",0.0616740088105727,4.53038959251101,6.28667394935903,2.94735390780111e-06,0.00018065956058495,0.000161279902567793,"PRKDC/DHX9/TRIM28/PARP1/RUVBL2/HMGB1/RUVBL1/RPS3/TP53BP1/SF3B3/FH/TOP2B/SMARCA4/SF3B5",14
"GO:0045739","GO:0045739","positive regulation of DNA repair","11/256","138/18805",0.0797101449275362,5.85527060688406,6.72512828217925,3.01210827207215e-06,0.00018065956058495,0.000161279902567793,"PRKDC/DHX9/TRIM28/PARP1/RUVBL2/HMGB1/RUVBL1/RPS3/FH/TOP2B/SMARCA4",11
"GO:0141188","GO:0141188","nucleic acid catabolic process","20/256","444/18805",0.045045045045045,3.30887528153153,5.78400483513019,3.1678015650621e-06,0.000185867313567448,0.000165929011039523,"DHX9/KHSRP/HNRNPU/DDX5/LRPPRC/SYNCRIP/HNRNPC/YBX1/APEX1/ELAVL1/EIF4A3/THRAP3/HNRNPA0/CAPRIN1/DFFA/ETF1/FEN1/RBM10/MAGOHB/CNOT3",20
"GO:0033120","GO:0033120","positive regulation of RNA splicing","7/256","48/18805",0.145833333333333,10.7124837239583,7.91505772983565,3.65081093115853e-06,0.000209649759642486,0.000187160273716055,"NCL/THRAP3/U2AF2/HNRNPLL/NUP98/POLR2A/TRA2A",7
"GO:0006376","GO:0006376","mRNA splice site recognition","7/256","49/18805",0.142857142857143,10.4938616071429,7.81728018238926,4.21021154255002e-06,0.000236736686527969,0.000211341539931952,"SF3A1/PUF60/SRSF10/SRSF6/SF3A3/LUC7L3/SRSF5",7
"GO:0006401","GO:0006401","RNA catabolic process","19/256","415/18805",0.0457831325301205,3.36309299698795,5.71872022471088,4.45094101013577e-06,0.000245165097680744,0.000218865821099909,"DHX9/KHSRP/HNRNPU/DDX5/LRPPRC/SYNCRIP/HNRNPC/YBX1/APEX1/ELAVL1/EIF4A3/THRAP3/HNRNPA0/CAPRIN1/ETF1/FEN1/RBM10/MAGOHB/CNOT3",19
"GO:0046822","GO:0046822","regulation of nucleocytoplasmic transport","10/256","119/18805",0.0840336134453782,6.17285976890756,6.65014120621383,5.31492765829901e-06,0.000285186168488534,0.000254593763643554,"FLNA/DHX9/TRIM28/TPR/PPP1CC/XPO1/RBM4/MAVS/NUP214/RBM10",10
"GO:0032386","GO:0032386","regulation of intracellular transport","15/256","273/18805",0.0549450549450549,4.03610061813187,5.93637313870865,5.38884571801231e-06,0.000285186168488534,0.000254593763643554,"FLNA/NUMA1/DHX9/TRIM28/TPR/PPP1CC/XPO1/ARHGAP1/RBM4/USP7/MAVS/SNAPIN/NUP214/RBM10/ARFIP1",15
"GO:0048025","GO:0048025","negative regulation of mRNA splicing, via spliceosome","5/256","21/18805",0.238095238095238,17.4897693452381,8.88208738861809,7.65530330494015e-06,0.000391156640154268,0.000349196602762473,"HNRNPK/U2AF2/SRSF10/SRSF6/RBM10",5
"GO:0006413","GO:0006413","translational initiation","10/256","124/18805",0.0806451612903226,5.92395413306452,6.46263509157484,7.68110482703824e-06,0.000391156640154268,0.000349196602762473,"TPR/SCRIB/RPS3/DDX1/EIF4H/RBM4/EIF3F/EIF5B/BZW2/EIF3K",10
